governorate_name_ar,governorate_name_en,x,y
القاهرة,Cairo,27,214
الجيزة,Giza,23,200
الأسكندرية,Alexandria,-100,281
الدقهلية,Dakahlia,29,271
البحر الأحمر,Red Sea,210,-154
البحيرة,Beheira,-41,217
الفيوم,Fayoum,-15,174
الغربية,Gharbiya,5,252
الإسماعلية,Ismailia,87,227
المنوفية,Menofia,4,230
المنيا,Minya,2,80
القليوبية,Qaliubiya,16,222
الوادي الجديد,New Valley,-71,-216
السويس,Suez,80,202
أسوان,Aswan,82,-220
أسيوط,Assiut,24,25
بني سويف,Beni Suef,-14,131
بورسعيد,Port Said,97,275
دمياط,Damietta,50,294
الشرقية,Sharkia,40,240
جنوب سيناء,South Sinai,170,142
كفر الشيخ,Kafr Al sheikh,6,280
مطروح,Matrouh,-167,190
الأقصر,Luxor,108,-83
قنا,Qena,121,-52
شمال سيناء,North Sinai,162,220
سوهاج,Sohag,61,-9
